Sample Number,Sample Date,Sample Time,Sample Site,Sample class,Residual Free Chlorine (mg/L),Turbidity (NTU),Fluoride (mg/L),Coliform (Quanti-Tray) (MPN /100mL),E.coli(Quanti-Tray) (MPN/100mL)
201500023,01-01-15,12:19,1S07,Operational,0.58,0.96,0.79,<1,<1
201500024,01-01-15,11:15,1S04,Operational,0.71,0.94,0.8,<1,<1
201500025,01-01-15,10:09,1S03A,Operational,0.79,0.93,0.79,<1,<1
201500026,01-01-15,10:41,1S03B,Operational,0.77,0.93,0.8,<1,<1
201500027,01-01-15,09:38,11550,Compliance,0.74,0.95,,<1,<1
201500028,01-01-15,08:41,13850,Compliance,0.59,1.08,,<1,<1
201500029,01-01-15,09:07,15550,Compliance,0.54,0.90,,<1,<1
201500030,01-01-15,11:16,17550,Compliance,0.56,1.00,,<1,<1
201500031,01-01-15,07:41,20900,Operational,0.54,0.92,,<1,<1
201500032,01-01-15,08:11,21850,Compliance,0.55,0.91,,<1,<1
201500033,01-01-15,10:15,22050,Compliance,0.55,1.00,,<1,<1
201500034,01-01-15,09:27,23350,Compliance,0.45,0.98,,<1,<1
201500035,01-01-15,09:00,23650,Compliance,0.63,1.02,,<1,<1
201500036,01-01-15,10:55,24150,Compliance,0.41,0.96,,<1,<1
201500037,01-01-15,08:20,25250,Compliance,0.55,0.94,,<1,<1
201500038,01-01-15,10:28,27000,Operational,0.53,1.06,,<1,<1
201500039,01-01-15,10:00,29550,Compliance,0.45,0.86,,<1,<1
201500040,01-01-15,08:48,30950,Compliance,0.59,0.95,,<1,<1
201500042,01-01-15,10:53,34550,Compliance,0.79,0.93,,<1,<1
201500043,01-01-15,10:22,35750,Compliance,0.59,0.85,,<1,<1
201500044,01-01-15,10:00,39750,Compliance,0.63,0.93,,<1,<1
201500045,01-01-15,08:07,40200,Operational,0.73,1.18,,<1,<1
201500046,01-01-15,07:44,40750,Compliance,0.63,0.99,,<1,<1
201500047,01-01-15,07:12,41150,Compliance,0.31,0.83,,<1,<1
201500048,01-01-15,09:55,41350,Compliance,0.58,0.91,,<1,<1
201500049,01-01-15,12:54,41850,Compliance,0.54,1.17,,<1,<1
201500050,01-01-15,13:15,44750,Compliance,0.47,0.93,,<1,<1
201500051,01-01-15,11:55,50650,Compliance,0.77,0.96,,<1,<1
201500052,01-01-15,11:18,51150,Compliance,0.82,0.96,,<1,<1
201500053,01-01-15,12:19,51900,Operational,0.87,1.03,,<1,<1
201500054,01-01-15,10:42,58650,Compliance,0.49,0.87,,<1,<1
201500055,01-01-15,11:56,76650,Compliance,0.50,0.96,,<1,<1
201500056,01-01-15,12:15,78050,Compliance,0.38,0.90,,<1,<1
201500057,01-01-15,11:31,78850,Compliance,0.46,0.84,,<1,<1
201500060,01-01-15,09:26,32550,Compliance,0.54,0.85,,<1,<1
201502522,02-01-15,13:17,1S04,Operational,0.52,0.97,0.81,<1,<1
201502523,02-01-15,12:37,1S07,Operational,0.54,1.00,0.81,<1,<1
201502524,02-01-15,11:42,1S03A,Operational,0.85,0.98,0.82,<1,<1
201502525,02-01-15,12:24,1S03B,Operational,0.67,1.01,0.82,<1,<1
201502526,02-01-15,10:09,10150,Compliance,0.56,0.92,,<1,<1
201502527,02-01-15,10:44,11750,Compliance,0.81,0.93,,<1,<1
201502528,02-01-15,11:15,12150,Compliance,0.77,1.05,,<1,<1
201502529,02-01-15,09:36,15050,Compliance,0.39,0.88,,<1,<1
201502530,02-01-15,13:35,16250,Compliance,0.60,1.10,,<1,<1
201502531,02-01-15,08:14,20900,Operational,0.40,0.85,,<1,<1
201502532,02-01-15,11:43,23850,Compliance,0.42,1.07,,<1,<1
201502533,02-01-15,09:16,25150,Compliance,0.53,1.00,,<1,<1
201502534,02-01-15,07:40,26750,Compliance,0.40,0.79,,<1,<1
201502535,02-01-15,07:52,27000,Operational,0.62,0.98,,<1,<1
201502536,02-01-15,08:44,27550,Compliance,0.55,0.88,,<1,<1
201502537,02-01-15,07:20,27850,Compliance,0.59,0.95,,<1,<1
201502538,02-01-15,11:15,29050,Compliance,0.40,0.99,,<1,<1
201502539,02-01-15,08:11,29450,Compliance,0.41,0.87,,<1,<1
201502540,02-01-15,08:57,30250,Compliance,0.38,0.84,,<1,<1
201502541,02-01-15,09:41,32650,Compliance,0.33,0.89,,<1,<1
201502542,02-01-15,10:25,34850,Compliance,0.53,0.90,,<1,<1
201502543,02-01-15,11:57,35150,Compliance,0.53,1.03,,<1,<1
201502544,02-01-15,11:12,36350,Compliance,0.45,0.95,,<1,<1
201502545,02-01-15,08:59,40200,Operational,0.66,1.01,,<1,<1
201502546,02-01-15,08:00,40650,Compliance,0.63,0.93,,<1,<1
201502548,02-01-15,12:06,42750,Compliance,0.49,0.97,,<1,<1
201502549,02-01-15,08:29,44250,Compliance,0.46,0.83,,<1,<1
201502550,02-01-15,10:38,46950,Compliance,0.56,1.02,,<1,<1
201502551,02-01-15,09:04,51850,Compliance,0.67,0.84,,<1,<1
201502552,02-01-15,08:47,51900,Operational,0.65,0.90,,<1,<1
201502553,02-01-15,10:20,55450,Compliance,0.40,0.77,,<1,<1
201502554,02-01-15,09:35,58950,Compliance,0.64,0.98,,<1,<1
201502555,02-01-15,11:41,78350,Compliance,0.50,1.10,,<1,<1
201502556,02-01-15,11:11,79150,Compliance,0.60,1.16,,<1,<1
201502584,02-01-15,09:42,41450,Compliance,0.48,0.96,,<1,<1
201504681,03-01-15,11:53,1S04,Operational,0.63,0.96,0.78,<1,<1
201504682,03-01-15,11:21,1S07,Operational,0.61,1.04,0.78,<1,<1
201504683,03-01-15,10:37,1S03A,Operational,0.74,1.00,0.78,<1,<1
201504684,03-01-15,11:18,1S03B,Operational,0.54,0.98,0.79,<1,<1
201504685,03-01-15,08:52,11150,Compliance,0.53,0.97,,<1,<1
201504687,03-01-15,09:21,12550,Compliance,0.59,0.94,,<1,<1
201504688,03-01-15,08:17,14950,Compliance,0.42,0.91,,<1,<1
201504690,03-01-15,08:02,20900,Operational,0.43,1.00,,<1,<1
201504691,03-01-15,08:06,22350,Compliance,0.47,0.97,,<1,<1
201504692,03-01-15,11:29,25050,Compliance,0.54,1.02,,<1,<1
201504693,03-01-15,07:29,25450,Compliance,0.52,0.98,,<1,<1
201504694,03-01-15,09:11,27000,Operational,0.42,0.95,,<1,<1
201504695,03-01-15,08:38,28450,Compliance,0.49,0.98,,<1,<1
201504696,03-01-15,09:07,28550,Compliance,0.46,1.01,,<1,<1
201504697,03-01-15,08:32,30450,Compliance,0.44,0.97,,<1,<1
201504698,03-01-15,09:03,31850,Compliance,0.38,0.99,,<1,<1
201504699,03-01-15,09:41,32750,Compliance,0.43,1.00,,<1,<1
201504700,03-01-15,10:45,33150,Compliance,0.54,0.98,,<1,<1
201504701,03-01-15,10:06,33850,Compliance,0.37,0.98,,<1,<1
201504703,03-01-15,08:44,40450,Compliance,0.38,0.90,,<1,<1
201504704,03-01-15,08:24,40550,Compliance,0.43,0.95,,<1,<1
201504705,03-01-15,07:56,41550,Compliance,0.49,0.96,,<1,<1
201504706,03-01-15,10:00,43050,Compliance,0.40,0.97,,<1,<1
201504707,03-01-15,10:27,45750,Compliance,0.44,1.02,,<1,<1
201504708,03-01-15,09:48,51550,Compliance,0.42,0.89,,<1,<1
201504709,03-01-15,10:44,51900,Operational,0.81,1.03,,<1,<1
201504710,03-01-15,10:19,52550,Compliance,0.50,0.99,,<1,<1
201504711,03-01-15,11:30,76850,Compliance,0.31,0.98,,<1,<1
201504712,03-01-15,11:04,77350,Compliance,0.34,1.00,,<1,<1
201504713,03-01-15,12:00,78450,Compliance,0.21,0.97,,<1,<1
201504743,03-01-15,07:30,20350,Compliance,0.45,1.00,,<1,<1
201504744,03-01-15,10:02,11450,Compliance,0.54,0.99,,<1,<1
201507272,04-01-15,09:42,1S04,Operational,0.67,1.27,0.79,<1,<1
201507273,04-01-15,09:06,1S07,Operational,0.62,1.39,0.8,<1,<1
201507274,04-01-15,09:55,1S03A,Operational,0.73,1.36,0.8,<1,<1
201507275,04-01-15,11:08,1S03B,Operational,0.58,1.31,0.79,<1,<1
201507276,04-01-15,11:32,10850,Compliance,0.44,1.23,,<1,<1
201507277,04-01-15,09:21,13050,Compliance,0.59,1.35,,<1,<1
201507278,04-01-15,08:31,13350,Compliance,0.80,1.37,,<1,<1
201507279,04-01-15,08:27,17750,Compliance,0.69,1.35,,<1,<1
201507280,04-01-15,09:02,18000,Operational,0.69,1.23,,<1,<1
201507281,04-01-15,10:11,19000,Operational,0.68,1.31,,<1,<1
